region,year,bev,phev
World,2010,7200,370
World,2011,39000,9000
World,2012,58000,60000
World,2013,110000,91000
World,2014,200000,130000
World,2015,330000,220000
World,2016,460000,290000
World,2017,760000,420000
World,2018,1400000,650000
World,2019,1500000,580000
World,2020,2000000,970000
World,2021,4600000,1900000
World,2022,7300000,2900000
