region,year,bev,phev
India,2010,450,10
India,2011,1400,10
India,2012,190,10
India,2013,410,10
India,2014,1000,10
India,2015,450,10
India,2016,730,10
India,2017,920,10
India,2018,920,10
India,2019,680,7
India,2020,3100,43
India,2021,12000,50
India,2022,48000,23
